"코드구분(GBN_CD)","코드구분명(GBN_NM)","코드값(CODE)","코드명(CODE_NM)"
"03","교통카드발행사","2000102","국민카드_11Pay"
"03","교통카드발행사","2000103","국민카드_카카오페이"
"03","교통카드발행사","2000104","국민카드_카카오페이(일반)"
"03","교통카드발행사","2000105","국민카드_banban"
"03","교통카드발행사","2000106","국민카드_타다"
"03","교통카드발행사","2000200","하나은행"
"03","교통카드발행사","2000201","하나카드_카카오고급택시"
"03","교통카드발행사","2000202","하나카드_11Pay"
"03","교통카드발행사","2000203","하나카드_카카오페이"
"03","교통카드발행사","2000204","하나카드_카카오페이(일반)"
"03","교통카드발행사","2000205","하나카드_banban"
"03","교통카드발행사","2000206","하나카드_타다"
"03","교통카드발행사","2000207","하나카드_Onda"
"03","교통카드발행사","2000300","한국씨티은행"
"03","교통카드발행사","2000400","구신한카드"
"03","교통카드발행사","2000500","한국외환은행"
"03","교통카드발행사","2000501","외환(해외)카드"
"03","교통카드발행사","2000503","외환카드_11Pay"
"03","교통카드발행사","2000600","삼성카드"
"03","교통카드발행사","2000601","삼성(해외)카드"
"03","교통카드발행사","2000602","삼성카드_카카오고급택시"
"03","교통카드발행사","2000603","삼성카드_11Pay"
"03","교통카드발행사","2000604","삼성카드_카카오페이"
"03","교통카드발행사","2000605","삼성카드_카카오페이(일반)"
"03","교통카드발행사","2000606","삼성카드_banban"
"03","교통카드발행사","2000607","삼성카드_타다"
"03","교통카드발행사","2000608","삼성카드_Onda"
"03","교통카드발행사","2000700","신한카드"
"03","교통카드발행사","2000701","신한카드_카카오고급택시"
"03","교통카드발행사","2000702","신한카드_11Pay"
"03","교통카드발행사","2000703","신한카드_카카오페이"
"03","교통카드발행사","2000704","신한카드_카카오페이(일반)"
"03","교통카드발행사","2000705","신한카드_banban"
"03","교통카드발행사","2000706","신한카드_타다"
"03","교통카드발행사","2000707","신한카드_Onda"
"03","교통카드발행사","2000800","BC카드"
"03","교통카드발행사","2000801","BC카드_카카오고급택시"
"03","교통카드발행사","2000802","BC카드_11Pay"
"03","교통카드발행사","2000803","BC카드_카카오페이"
"03","교통카드발행사","2000804","BC카드_카카오페이(일반)"
"03","교통카드발행사","2000805","BC카드_banban"
"03","교통카드발행사","2000806","BC카드_타다"
"03","교통카드발행사","2000809","BC(DFS)카드"
"03","교통카드발행사","2000900","현대카드"
"03","교통카드발행사","2000901","현대카드"
"03","교통카드발행사","2000902","현대카드_카카오고급택시"
"03","교통카드발행사","2000903","현대카드_11Pay"
"03","교통카드발행사","2000904","현대카드_카카오페이"
"03","교통카드발행사","2000905","현대카드_카카오페이(일반)"
"03","교통카드발행사","2000906","현대카드_banban"
"03","교통카드발행사","2000907","현대카드_타다"
"03","교통카드발행사","2000908","현대카드_Onda"
"03","교통카드발행사","2001000","롯데카드"
"03","교통카드발행사","2001001","롯데카드"
"03","교통카드발행사","2001002","롯데카드_카카오고급택시"
"03","교통카드발행사","2001003","롯데카드_11Pay"
"03","교통카드발행사","2001004","롯데카드_카카오페이"
"03","교통카드발행사","2001005","롯데카드_카카오페이(일반)"
"03","교통카드발행사","2001006","롯데카드_banban"
"03","교통카드발행사","2001007","롯데카드_타다"
"03","교통카드발행사","2001100","수협카드"
"03","교통카드발행사","2001200","제주은행"
"03","교통카드발행사","2001300","광주은행"
"03","교통카드발행사","2001400","농협카드"
"03","교통카드발행사","2001401","농협카드_카카오고급택시"
"03","교통카드발행사","2001402","농협카드_11Pay"
"03","교통카드발행사","2001403","농협카드_카카오페이"
"03","교통카드발행사","2001404","농협카드_카카오페이(일반)"
"03","교통카드발행사","2001405","농협카드_banban"
"03","교통카드발행사","2001406","농협카드_타다"
"03","교통카드발행사","2001500","Alipay_QR"
"03","교통카드발행사","2001600","Unionpay_QR"
"03","교통카드발행사","2001700","WechatPay_QR"
"03","교통카드발행사","2001800","Tmoneypay_QR"
"03","교통카드발행사","2001801","Tmoneypay_Onda"
"03","교통카드발행사","2001802","티머니비즈페이_Onda"
"03","교통카드발행사","2001803","온다카드(쿠폰)"
"03","교통카드발행사","3000000","Smart 티머니"
"03","교통카드발행사","3065031","K-Cash_대구은행"
"03","교통카드발행사","3072010","SAM v2.5 (PSAM 제외)"
"03","교통카드발행사","3072030","티머니"
"03","교통카드발행사","3072035","티머니"
"03","교통카드발행사","3072036","티머니"
"03","교통카드발행사","3101000","티머니"
"03","교통카드발행사","3101001","티머니"
"03","교통카드발행사","3101002","티머니"
"03","교통카드발행사","3101003","티머니"
"03","교통카드발행사","3101099","티머니"
"03","교통카드발행사","3101201","티머니"
"03","교통카드발행사","3101202","티머니"
"03","교통카드발행사","3101204","티머니"
"03","교통카드발행사","3101210","티머니"
"03","교통카드발행사","3101211","티머니"
"03","교통카드발행사","3101212","티머니"
"03","교통카드발행사","3101213","티머니"
"03","교통카드발행사","3101214","티머니"
"03","교통카드발행사","3101215","티머니"
"03","교통카드발행사","3101216","티머니"
"03","교통카드발행사","3101217","티머니"
"03","교통카드발행사","3101218","티머니"
"03","교통카드발행사","3101219","티머니"
"03","교통카드발행사","3101220","티머니"
"03","교통카드발행사","3101221","티머니"
"03","교통카드발행사","3101300","티머니"
"03","교통카드발행사","3101301","티머니"
"03","교통카드발행사","3101302","티머니"
"03","교통카드발행사","3101303","티머니"
"03","교통카드발행사","3101401","티머니"
"03","교통카드발행사","3101402","티머니"
"03","교통카드발행사","3101403","티머니"
"03","교통카드발행사","3101404","티머니"
"03","교통카드발행사","3101405","티머니"
"03","교통카드발행사","3101406","티머니"
"03","교통카드발행사","3101407","티머니"
"03","교통카드발행사","3101408","티머니"
"03","교통카드발행사","3101409","티머니"
"03","교통카드발행사","3101410","티머니"
"03","교통카드발행사","3101411","티머니"
"03","교통카드발행사","3101412","티머니"
"03","교통카드발행사","3101413","티머니"
"03","교통카드발행사","3101414","티머니"
"03","교통카드발행사","3101501","티머니"
"03","교통카드발행사","3101504","티머니"
"03","교통카드발행사","3101505","티머니"
"03","교통카드발행사","3101506","티머니"
"03","교통카드발행사","3101900","티머니"
"03","교통카드발행사","3101910","티머니"
"03","교통카드발행사","3101911","티머니"
"03","교통카드발행사","3101912","티머니"
"03","교통카드발행사","3101913","티머니"
"03","교통카드발행사","3101914","티머니"
"03","교통카드발행사","3101915","티머니"
"03","교통카드발행사","3101916","티머니"
"03","교통카드발행사","3101917","티머니"
"03","교통카드발행사","3102000","조합 카드 충전 SAM 카드"
"03","교통카드발행사","3103001","티머니"
"03","교통카드발행사","3103002","티머니"
"03","교통카드발행사","3103003","티머니"
"03","교통카드발행사","3103004","티머니"
"03","교통카드발행사","3103005","티머니"
"03","교통카드발행사","3103006","티머니"
