ID,h,bf,tw,tf,k
W18X55,460,191,9.91,16,26.2
W18X50,457,191,9.02,14.5,24.7
W18X46,460,154,9.14,15.4,25.7
W18X40,455,153,8,13.3,23.5
W18X35,450,152,7.62,10.8,21
W16X100,432,264,14.9,25,35.3
W16X89,427,264,13.3,22.2,32.5
W16X77,419,262,11.6,19.3,29.5
W16X67,414,259,10,16.9,27.2
W16X57,417,181,10.9,18.2,28.4
W16X50,414,180,9.65,16,26.2
W16X45,409,179,8.76,14.4,24.6
W16X40,406,178,7.75,12.8,23
W16X36,404,178,7.49,10.9,21.1
W16X31,404,140,6.99,11.2,21.4
W16X26,399,140,6.35,8.76,19
W14X873,599,478,100,140,155
W14X808,579,472,95,130,145
W14X730,569,455,78,125,140
W14X665,549,450,71.9,115,130
W14X605,531,442,66,106,121
W14X550,513,437,60.5,97,112
W14X500,498,432,55.6,88.9,104
W14X455,483,427,51.3,81.5,96.8
W14X426,475,424,47.8,77.2,92.2
W14X398,465,422,45,72.4,87.4
W14X370,455,419,42.2,67.6,82.8
W14X342,445,417,39.1,62.7,78
W14X311,434,411,35.8,57.4,72.6
W14X283,424,409,32.8,52.6,67.8
W14X257,417,406,30,48,63.2
W14X233,406,404,27.2,43.7,58.9
W14X211,399,401,24.9,39.6,54.9
W14X193,394,399,22.6,36.6,51.8
W14X176,386,399,21.1,33.3,48.5
W14X159,381,396,18.9,30.2,45.5
W14X145,376,394,17.3,27.7,42.9
W14X132,373,373,16.4,26.2,41.4
W14X120,368,373,15,23.9,39.1
W14X109,363,371,13.3,21.8,37.1
W14X99,361,371,12.3,19.8,35.1
W14X90,356,368,11.2,18,33.3
W14X82,363,257,13,21.7,36.8
W14X74,361,257,11.4,19.9,35.1
W14X68,356,254,10.5,18.3,33.3
W14X61,353,254,9.53,16.4,31.5
W14X53,353,205,9.4,16.8,31.8
W14X48,351,204,8.64,15.1,30.2
W14X43,348,203,7.75,13.5,28.4
W14X38,358,172,7.87,13.1,23.2
W14X34,356,171,7.24,11.6,21.7
W14X30,351,171,6.86,9.78,19.9
W14X26,353,128,6.48,10.7,20.8
W14X22,348,127,5.84,8.51,18.7
W12X336,427,340,45.2,75.2,90.2
W12X305,414,335,41.4,68.8,83.8
W12X279,404,333,38.9,62.7,78
W12X252,391,330,35.6,57.2,72.4
W12X230,384,328,32.8,52.6,67.8
W12X210,373,325,30,48.3,63.5
W12X190,366,323,26.9,44.2,59.2
W12X170,356,320,24.4,39.6,54.9
W12X152,348,318,22.1,35.6,50.8
W12X136,340,315,20.1,31.8,47
W12X120,333,312,18,28.2,43.2
W12X106,328,310,15.5,25.1,40.4
W12X96,323,310,14,22.9,38.1
W12X87,318,307,13.1,20.6,35.8
W12X79,315,307,11.9,18.7,33.8
W12X72,312,305,10.9,17,32.3
W12X65,307,305,9.91,15.4,30.5
W12X58,310,254,9.14,16.3,31.5
W12X53,307,254,8.76,14.6,30
W12X50,310,205,9.4,16.3,29
W12X45,307,204,8.51,14.6,27.4
W12X40,302,203,7.49,13.1,25.9
W12X35,318,167,7.62,13.2,20.8
W12X30,312,166,6.6,11.2,18.8
W12X26,310,165,5.84,9.65,17.3
W12X22,312,102,6.6,10.8,18.4
W12X19,310,102,5.97,8.89,16.5
W12X16,305,101,5.59,6.73,14.4
W12X14,302,101,5.08,5.72,13.3
W10X112,290,264,19.2,31.8,44.5
W10X100,282,262,17.3,28.4,41.1
W10X88,274,262,15.4,25.1,37.8
W10X77,269,259,13.5,22.1,34.8
W10X68,264,257,11.9,19.6,32.3
W10X60,259,257,10.7,17.3,30
W10X54,257,254,9.4,15.6,28.4
W10X49,254,254,8.64,14.2,26.9
W10X45,257,204,8.89,15.7,28.4
W10X39,252,203,8,13.5,26.2
W10X33,247,202,7.37,11,23.7
W10X30,267,148,7.62,13,20.6
W10X26,262,147,6.6,11.2,18.8
W10X22,259,146,6.1,9.14,16.8
W10X19,259,102,6.35,10,17.7
W10X17,257,102,6.1,8.38,16
W10X15,254,102,5.84,6.86,14.5
W10X12,251,101,4.83,5.33,13
W8X67,229,210,14.5,23.7,33.8
W8X58,222,209,13,20.6,30.5
W8X48,216,206,10.2,17.4,27.4
W8X40,210,205,9.14,14.2,24.2
W8X35,206,204,7.87,12.6,22.6
W8X31,203,203,7.24,11,21.1
W8X28,205,166,7.24,11.8,21.8
W8X24,201,165,6.22,10.2,20.2
W8X21,210,134,6.35,10.2,17.8
W8X18,207,133,5.84,8.38,16
W8X15,206,102,6.22,8,15.6
W8X13,203,102,5.84,6.48,14.1
W8X10,200,100,4.32,5.21,12.8
W6X25,162,154,8.13,11.6,17.9
W6X20,157,153,6.6,9.27,15.6
W6X15,152,152,5.84,6.6,13
W6X16,160,102,6.6,10.3,16.6
W6X12,153,102,5.84,7.11,13.5
W6X9,150,100,4.32,5.46,11.8
W6X8.5,148,100,4.32,4.95,11.3
W5X19,131,128,6.86,10.9,18.5
W5X16,127,127,6.1,9.14,16.8
W4X13,106,103,7.11,8.76,15.1
